,puuid,matchId
132,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613889796
133,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613843354
134,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613779124
135,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613211292
136,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613194470
137,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613181322
138,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613170412
139,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613151539
140,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613127651
141,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613039524
142,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612984047
143,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612899387
144,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612704204
145,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612607223
146,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612495401
147,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612376523
148,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612240852
149,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612161119
150,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612049696
151,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611970198
152,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611300685
153,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611290123
154,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611241903
155,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611224096
156,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611177127
157,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6611145349
158,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6610608364
